#{"t_start": 1769326473.057469, "env_id": "FlappyBird-v0"}
r,l,t
-8.7,50,0.768425
-8.1,50,0.88211
-6.3,50,1.077804
-8.1,50,1.301176
-8.1,50,1.529982
-6.3,50,1.754151
-8.1,50,1.982643
-6.9,50,2.197127
-0.9,50,2.41851
-7.5,50,2.646591
-7.5,50,2.870392
-6.9,50,3.087056
-6.3,50,3.305347
-8.1,50,3.532705
-2.7,50,3.751463
-8.1,50,3.97304
-5.7,50,4.184935
-1.5,50,4.408241
-7.5,50,4.627652
-8.7,50,4.852258
-6.9,50,5.078218
-5.1,50,5.298198
-7.5,50,5.521615
-3.9,50,5.735055
-7.5,50,5.958049
-8.1,50,6.191681
-3.3,50,6.413142
-8.7,50,6.631549
-6.3,50,6.872839
-5.7,50,7.105397
-6.9,50,7.358375
-7.5,50,7.575809
-5.1,50,7.807338
-3.9,50,8.025883
-6.9,50,8.262675
-6.9,50,8.484347
-3.9,50,8.703631
-4.5,50,8.925944
-9.3,50,9.148649
-2.1,50,9.464861
-0.9,50,9.685909
-2.7,50,9.904756
-0.9,50,10.128263
-6.3,50,10.35471
-5.7,50,10.583792
-0.9,50,10.805053
-6.9,50,11.022755
-1.5,50,11.24988
-8.7,50,11.480642
-2.1,50,11.712629
-0.9,50,11.942196
-6.9,50,12.160283
-4.5,50,12.391248
-0.9,50,12.623713
-3.9,50,12.851411
-0.9,50,13.078944
-0.3,50,13.306559
-0.9,50,13.542674
0.3,50,13.78493
-0.9,50,14.030171
2.1,50,14.257174
-0.9,50,14.485978
-0.9,50,14.718421
-0.9,50,14.95083
0.1,54,15.208407
-0.9,50,15.441381
-2.0,57,15.710024
-0.3,50,15.957047
-0.9,56,16.23653
-2.4,59,16.511451
-0.9,50,16.750154
0.8,31,16.908721
-2.4,59,17.192934
-2.7,50,17.445379
0.8,31,17.600163
-0.9,50,17.844466
0.9,50,18.076145
-2.7,50,18.325129
0.8,31,18.475765
-4.3,58,18.75723
-2.5,58,19.033586
0.8,31,19.186503
0.8,31,19.348597
-1.5,50,19.582627
-0.3,50,19.839731
0.8,31,19.998138
-1.5,50,20.230825
0.8,31,20.389805
0.8,31,20.544665
0.8,31,20.694997
-0.9,50,20.931228
-2.7,50,21.171017
-2.7,50,21.409356
-4.3,58,21.697191
-2.7,50,21.942743
-0.5,54,22.197857
0.8,31,22.350114
1.0,33,22.507805
-0.9,50,22.74717
-2.7,50,22.987598
-2.0,57,23.335232
-2.7,50,23.58444
-2.7,50,23.815653
-0.9,50,24.06208
-2.7,50,24.303714
-2.7,50,24.538593
-2.7,50,24.776468
-2.7,50,25.02178
-1.5,50,25.256201
-1.5,50,25.497512
-1.5,50,25.731703
0.8,31,25.891973
0.8,31,26.044357
0.8,31,26.210376
0.8,31,26.363832
-2.7,50,26.60965
-0.9,50,26.853353
-0.7,52,27.102823
-1.6,55,27.371083
0.8,31,27.517865
-0.9,56,27.784543
-2.7,50,28.035752
0.8,31,28.188205
1.2,35,28.362157
0.8,31,28.518258
0.8,31,28.674201
1.4,55,28.940583
0.8,31,29.093526
0.8,31,29.238953
0.8,31,29.39871
0.8,31,29.542026
0.8,31,29.703109
-2.7,50,29.947669
0.8,31,30.103895
0.8,31,30.252525
-2.7,50,30.491153
0.8,31,30.647215
0.9,56,30.917134
0.8,31,31.079014
0.8,31,31.241115
0.8,31,31.399988
0.8,31,31.545429
0.8,31,31.709379
0.8,31,31.875123
-0.4,49,32.113003
0.8,31,32.276461
0.8,31,32.451276
0.8,31,32.616902
0.8,94,33.083674
0.8,31,33.235919
-2.7,50,33.472791
-2.6,57,33.745471
0.8,31,33.90025
-0.9,50,34.138456
2.9,58,34.43727
0.8,31,34.693045
0.8,31,34.845481
-2.3,60,35.130932
0.8,31,35.27051
-2.2,61,35.562207
0.8,31,35.718596
0.8,31,35.878389
2.9,52,36.133774
2.2,51,36.379418
1.5,50,36.618413
-1.2,59,36.908503
0.8,31,37.058094
-2.7,56,37.329082
-1.3,58,37.616652
1.8,53,37.869046
1.5,50,38.107247
0.3,50,38.338657
2.3,52,38.585123
1.0,57,38.860801
2.7,56,39.120492
1.1,52,39.366
1.5,50,39.602526
1.6,51,39.848486
-1.4,51,40.080837
-0.9,50,40.317499
0.9,50,40.561828
2.1,50,40.796315
2.2,51,41.037452
1.1,52,41.293772
1.1,52,41.539889
-0.3,56,41.813171
0.9,50,42.049628
-0.6,53,42.302073
0.9,50,42.538322
-0.9,50,42.774426
-1.2,53,43.020031
1.5,50,43.255096
-1.7,54,43.510164
0.8,31,43.658771
0.5,52,43.908933
-0.9,50,44.139667
-0.3,50,44.379941
0.9,50,44.611438
0.0,53,44.87114
2.5,54,45.129616
0.8,31,45.288775
1.7,52,45.536496
0.8,31,45.691665
0.8,31,45.840933
2.6,55,46.125307
0.8,31,46.282619
2.2,51,46.539857
0.8,31,46.695825
-2.7,50,46.945188
0.8,31,47.095126
1.5,50,47.345264
0.8,31,47.499837
0.8,31,47.6572
0.8,31,47.809055
0.8,31,47.965135
0.8,31,48.134102
2.1,50,48.488813
0.8,31,48.651448
0.8,31,48.797045
0.8,31,48.961777
-0.9,50,49.290628
0.8,31,49.448949
0.8,31,49.600357
3.1,54,49.865307
1.6,51,50.116712
-0.9,50,50.345343
0.8,31,50.505084
2.4,53,50.75556
0.8,31,50.916687
0.8,31,51.064419
0.8,31,51.228599
0.8,31,51.387152
0.8,31,51.533353
-2.7,50,51.779675
-2.7,50,52.038354
-0.9,50,52.269676
0.8,31,52.427122
0.8,31,52.583189
2.8,51,52.836022
0.8,31,52.999271
2.1,50,53.24506
0.8,31,53.396495
0.8,31,53.548841
-2.7,50,53.789746
-2.7,50,54.033867
-2.7,50,54.277551
-2.7,50,54.521519
-1.5,50,54.769659
-1.5,50,55.016621
-2.7,50,55.259894
-0.3,50,55.506005
-1.5,50,55.746347
3.0,86,56.164167
-1.5,50,56.408044
-1.5,50,56.653923
-0.9,50,56.886399
-0.9,50,57.115464
2.1,65,57.435743
-0.9,50,57.674551
2.8,51,57.917185
0.3,50,58.155387
-0.3,50,58.397423
1.8,86,58.800396
2.7,50,59.037876
-0.9,50,59.276831
-0.3,50,59.513036
2.9,52,59.754444
2.1,50,59.99798
4.7,67,60.331853
