#{"t_start": 1769326473.053806, "env_id": "FlappyBird-v0"}
r,l,t
-6.9,50,0.772317
-5.1,50,0.885803
-3.9,50,1.08162
-5.1,50,1.305063
-6.9,50,1.533816
-6.9,50,1.757869
-8.1,50,1.985591
-6.9,50,2.199448
-7.5,50,2.421637
-6.9,50,2.650484
-6.9,50,2.873215
-7.5,50,3.090381
-6.3,50,3.309838
-6.9,50,3.535583
-6.9,50,3.755107
-6.9,50,3.977189
-5.7,50,4.188137
-6.9,50,4.41178
-3.3,50,4.631452
-5.7,50,4.856505
-7.5,50,5.082758
-6.9,50,5.301907
-8.7,50,5.525288
-4.5,50,5.738778
-8.1,50,5.960923
-3.9,50,6.195773
-6.3,50,6.416074
-6.9,50,6.635228
-5.1,50,6.875551
-6.3,50,7.110678
-5.7,50,7.361644
-8.7,50,7.578643
-1.5,50,7.811284
-5.7,50,8.030469
-6.3,50,8.266555
-7.5,50,8.48881
-7.5,50,8.70765
-0.9,50,8.928962
-9.3,50,9.153256
-3.3,50,9.468722
-1.5,50,9.689252
-2.7,50,9.907988
-1.5,50,10.132747
-8.7,50,10.358475
-3.3,50,10.587455
-3.9,50,10.808814
-6.9,50,11.026427
-0.9,50,11.253533
-9.3,50,11.485197
-2.1,50,11.715842
-0.9,50,11.945939
-0.9,50,12.164029
-8.1,50,12.395841
-0.9,50,12.627801
-1.5,50,12.855369
-5.1,50,13.082704
-0.9,50,13.311665
-0.9,50,13.546414
-0.9,50,13.788634
-1.5,50,14.03353
-0.9,50,14.260115
-0.9,50,14.49033
-0.9,50,14.721331
2.7,50,14.95456
-2.5,58,15.233023
-0.9,50,15.464525
-0.9,50,15.698234
-0.3,50,15.942963
1.5,50,16.195398
-0.9,50,16.432997
-0.9,50,16.676002
-2.5,58,16.957064
-0.9,50,17.195606
-2.7,50,17.448739
0.8,31,17.604084
-0.9,50,17.848916
0.1,54,18.096874
-3.3,56,18.382408
0.8,31,18.528884
-2.7,50,18.771179
-1.0,55,19.02897
0.8,31,19.184389
0.8,31,19.34318
-1.6,55,19.604885
-0.9,50,19.863504
1.5,50,20.107053
-3.3,56,20.381099
0.8,31,20.53096
1.5,50,20.777741
0.8,31,20.922652
-2.7,50,21.162114
-2.7,50,21.401625
-2.7,50,21.645037
-2.7,50,21.897436
-0.9,50,22.132872
-2.7,50,22.375328
0.8,31,22.525687
-2.7,50,22.766816
-2.7,50,23.057017
-0.9,50,23.320296
0.8,31,23.466867
0.8,31,23.625155
-0.9,50,23.853273
-0.9,50,24.100115
-0.9,50,24.344421
-2.7,50,24.582683
-3.0,59,24.864224
0.8,31,25.009764
-1.5,50,25.248077
-0.9,50,25.491398
-0.4,55,25.748852
0.8,31,25.911951
0.8,31,26.068449
0.8,31,26.228563
0.8,31,26.381716
0.8,31,26.528414
-2.7,50,26.771002
-0.9,50,27.008898
1.2,59,27.298741
-0.9,50,27.543004
2.5,54,27.811919
0.8,31,27.96301
0.8,31,28.114339
0.8,31,28.265064
0.8,31,28.429405
0.8,31,28.587932
0.8,31,28.737195
1.2,35,28.898035
0.8,31,29.049974
-0.9,50,29.293878
-2.4,59,29.59734
-2.7,50,29.84003
0.8,31,29.982361
-0.9,50,30.22909
0.8,31,30.385985
0.8,31,30.537528
2.3,52,30.780962
0.8,31,30.936512
0.8,31,31.09834
0.8,31,31.260938
0.8,31,31.41627
0.8,31,31.576391
0.8,31,31.728473
0.8,31,31.894212
0.6,47,32.121881
0.8,31,32.287194
0.8,31,32.460609
0.8,31,32.627802
0.8,31,32.779334
0.8,31,32.932358
0.8,31,33.08759
0.8,31,33.239726
0.8,31,33.387316
0.8,31,33.528569
-0.9,50,33.774965
0.8,31,33.930028
-0.9,50,34.164355
0.8,31,34.312352
0.8,31,34.5713
0.8,31,34.736894
-1.3,58,35.010249
0.8,31,35.163957
-2.4,59,35.444091
0.8,31,35.603519
0.8,31,35.7473
0.8,31,35.904834
-0.3,50,36.154256
2.2,51,36.397935
0.8,31,36.545714
-1.9,58,36.825472
0.8,31,36.983722
0.8,31,37.134441
-0.9,56,37.404928
0.8,31,37.548278
1.8,53,37.796974
2.4,53,38.051546
-1.3,52,38.297153
1.7,52,38.544838
-1.0,61,38.841459
2.7,56,39.10462
2.2,51,39.341347
2.2,51,39.578065
2.1,50,39.823114
-0.9,50,40.057824
0.3,50,40.295754
-0.8,51,40.538703
0.3,50,40.77809
2.2,51,41.019122
-2.3,54,41.282672
-0.6,53,41.534006
3.0,53,41.786712
0.9,50,42.028064
-0.9,50,42.269247
1.6,51,42.510084
-0.9,50,42.746015
0.9,50,42.975324
1.5,50,43.210429
2.2,51,43.45304
-0.3,56,43.716552
1.8,53,43.967569
2.7,50,44.208396
1.5,50,44.438178
1.2,53,44.687376
0.8,31,44.839686
0.3,50,45.083824
0.8,31,45.242018
-0.9,50,45.482421
0.8,31,45.641447
0.8,31,45.792038
-0.9,50,46.035605
0.8,31,46.205766
0.8,31,46.356323
0.8,31,46.511692
0.8,31,46.668762
0.8,31,46.816876
0.4,51,47.068882
0.8,31,47.230633
0.8,31,47.392822
0.8,31,47.541934
0.8,31,47.692686
0.8,31,47.847485
0.8,31,48.006302
0.8,31,48.172363
0.4,51,48.530735
0.8,31,48.691148
0.8,31,48.839497
0.8,31,49.003508
0.8,31,49.243503
0.8,31,49.397403
0.8,31,49.545733
0.8,31,49.704883
0.8,31,49.850745
0.8,31,49.997114
1.0,33,50.168658
2.9,58,50.4453
0.8,31,50.597003
0.8,31,50.742212
0.8,31,50.898973
-0.9,50,51.153379
0.8,31,51.300027
0.8,31,51.460014
0.8,31,51.615342
0.8,31,51.764594
0.8,31,51.925773
0.8,31,52.078874
-0.9,50,52.316653
0.8,31,52.470268
0.8,31,52.629979
-0.3,50,52.882313
0.8,31,53.035184
-0.9,50,53.282223
-2.7,50,53.524917
-2.7,50,53.768462
-2.7,50,54.005036
-2.7,50,54.257173
-2.7,50,54.500651
-1.5,50,54.749441
2.1,50,54.995645
2.7,50,55.240242
0.9,50,55.48488
-1.5,50,55.728356
-1.5,50,55.960242
-0.9,50,56.209921
-1.5,50,56.452359
-1.5,50,56.69675
-1.5,50,56.928861
4.5,122,57.510857
0.4,57,57.784134
-0.9,50,58.029311
-0.9,50,58.264434
-1.2,86,58.678373
-0.3,50,58.91326
2.1,56,59.181192
-0.9,50,59.413071
-0.3,50,59.649979
2.0,70,59.9793
0.3,50,60.218064
2.8,51,60.488555
