#{"t_start": 1769326473.069521, "env_id": "FlappyBird-v0"}
r,l,t
0.8,31,23.471368
0.8,31,23.628304
-0.9,50,23.859868
-0.3,50,24.104198
-0.9,50,24.348076
-2.7,50,24.584996
-0.9,50,24.825809
0.8,31,24.969529
-1.5,50,25.208906
-2.1,56,25.48062
-1.5,56,25.74372
0.8,31,25.90843
0.8,31,26.067335
0.8,31,26.222688
0.8,31,26.377445
0.8,31,26.528204
-2.7,50,26.764365
-1.5,50,27.003995
-2.7,50,27.250263
0.8,31,27.408294
0.8,31,27.559203
2.1,50,27.801329
0.8,31,27.952379
-2.7,50,28.195721
0.8,31,28.350347
0.8,31,28.504774
0.8,31,28.662061
1.9,54,28.923735
-2.7,50,29.164821
0.8,31,29.325225
-1.4,57,29.609752
0.8,31,29.755057
-0.9,50,30.001938
0.8,31,30.152315
0.8,31,30.311724
0.8,31,30.450773
0.8,31,30.60932
0.3,50,30.848269
0.8,31,31.00086
0.8,31,31.171348
0.8,31,31.327245
0.8,31,31.478449
0.8,31,31.638919
0.8,31,31.799086
-0.9,50,32.0405
0.8,31,32.205154
0.8,31,32.379506
0.8,31,32.55167
0.8,31,32.707459
0.8,31,32.856294
0.8,31,33.009355
0.8,31,33.159915
0.8,31,33.311336
-0.3,50,33.548704
0.8,31,33.696417
0.8,31,33.854294
-0.9,50,34.095161
0.6,47,34.325715
0.8,31,34.593068
0.8,31,34.744872
0.8,31,34.891219
-1.9,58,35.168301
0.8,31,35.320531
0.0,59,35.608949
0.8,31,35.751787
0.8,31,35.910287
1.5,50,36.161593
1.5,50,36.401134
2.8,57,36.668093
0.8,31,36.825751
0.8,31,36.979589
0.8,31,37.13456
1.3,54,37.388454
2.3,52,37.64212
-1.9,58,37.916387
-0.6,53,38.167846
-2.5,58,38.438988
2.4,53,38.681279
-1.2,59,38.968026
1.8,53,39.213362
-1.3,58,39.488828
1.5,50,39.730513
-0.9,50,39.962806
-0.9,50,40.198188
-0.9,50,40.443244
2.3,52,40.688784
-0.9,50,40.926411
-1.9,52,41.183288
1.6,51,41.420771
-0.3,50,41.659619
2.3,52,41.915705
2.1,50,42.155017
2.7,50,42.388304
-0.9,50,42.623689
-0.9,50,42.857566
0.8,31,43.003256
1.5,50,43.233292
-1.4,57,43.509155
1.2,53,43.75484
1.6,51,43.999187
-1.2,53,44.250926
2.2,51,44.489663
0.3,50,44.726232
0.8,31,44.883545
1.7,52,45.135698
0.8,31,45.292033
0.8,31,45.437114
-0.1,58,45.726811
0.8,31,45.882948
0.8,31,46.029423
0.8,31,46.200559
-0.9,50,46.450626
0.8,31,46.600282
0.8,31,46.754569
2.8,51,47.007019
-0.9,50,47.259342
2.2,51,47.509422
2.1,50,47.757969
2.9,52,48.033371
0.8,31,48.197126
0.3,50,48.54847
0.8,31,48.709702
0.8,31,48.870675
0.8,31,49.11475
0.8,31,49.255953
0.8,31,49.411299
0.8,31,49.562481
-0.9,50,49.803421
2.3,52,50.058431
3.0,59,50.342808
0.8,31,50.499084
2.9,52,50.744214
0.8,31,50.903868
2.7,50,51.157019
0.8,31,51.309786
0.9,50,51.560053
3.3,56,51.835529
0.8,31,51.988916
1.8,59,52.275738
0.8,31,52.432191
0.8,31,52.586619
0.8,31,52.747347
0.8,31,52.899603
0.8,31,53.055736
2.7,50,53.29859
0.8,31,53.451464
-2.7,50,53.696907
-2.7,50,53.933225
-2.7,50,54.185102
-2.7,50,54.429919
-1.5,50,54.676842
-1.5,50,54.920419
-2.7,50,55.169797
5.5,69,55.504301
-1.5,50,55.746876
1.2,59,56.023
-2.7,50,56.274031
-0.9,50,56.507109
-1.5,50,56.752354
2.4,86,57.161065
-0.9,50,57.403329
-0.9,50,57.643265
0.3,50,57.88167
2.5,54,58.13607
0.3,50,58.380358
-0.9,50,58.606826
2.7,50,58.850953
0.3,50,59.088544
-0.9,122,59.667291
-0.3,50,59.900649
3.8,70,60.235849
2.8,51,60.507479
