#{"t_start": 1769326473.069521, "env_id": "FlappyBird-v0"}
r,l,t
-5.1,50,0.756433
-6.3,50,0.870155
-7.5,50,1.065955
-8.1,50,1.289477
-5.7,50,1.518173
-4.5,50,1.742345
-6.3,50,1.96986
-7.5,50,2.184339
-6.3,50,2.406573
-6.9,50,2.634941
-2.1,50,2.857591
-7.5,50,3.075183
-7.5,50,3.293892
-6.3,50,3.521033
-4.5,50,3.739593
-6.3,50,3.961027
-6.3,50,4.173936
-4.5,50,4.396972
-8.7,50,4.615124
-8.7,50,4.840927
-8.1,50,5.066758
-5.7,50,5.286259
-8.1,50,5.509575
-5.1,50,5.723128
-8.1,50,5.946181
-6.3,50,6.179259
-6.9,50,6.39987
-7.5,50,6.61976
-6.9,50,6.860757
-7.5,50,7.093523
-3.9,50,7.346085
-8.1,50,7.563859
-6.3,50,7.795095
-3.3,50,8.014771
-7.5,50,8.250783
-6.9,50,8.472298
-8.7,50,8.691688
-5.7,50,8.91393
-8.7,50,9.136133
-0.9,50,9.452211
-6.9,50,9.674117
-2.1,50,9.891727
-3.3,50,10.117157
-7.5,50,10.341433
-0.9,50,10.571861
-2.1,50,10.793131
-6.9,50,11.009956
-0.9,50,11.23737
-9.3,50,11.468101
-3.9,50,11.700166
-0.9,50,11.930221
-5.1,50,12.147777
-8.1,50,12.379334
-2.1,50,12.611587
-2.1,50,12.84054
-5.7,50,13.067909
-0.9,50,13.295903
-0.9,50,13.530743
-0.9,50,13.772992
-0.9,50,14.018309
-0.9,50,14.245392
-2.1,50,14.474147
-0.9,50,14.705689
1.5,50,14.938793
0.8,31,15.091412
-0.9,50,15.333134
-2.6,57,15.585685
-2.7,50,15.824034
-0.9,50,16.079538
-0.9,50,16.323705
-1.0,55,16.589446
-2.5,58,16.867857
-0.9,50,17.111511
-2.1,56,17.38825
0.8,31,17.548116
-2.7,50,17.785414
-0.3,50,18.023426
0.8,31,18.174155
0.8,31,18.330353
0.8,31,18.479688
-2.7,50,18.721965
-1.1,54,18.975801
0.8,31,19.131335
0.8,31,19.288555
0.8,31,19.443801
1.1,52,19.698156
-2.7,50,19.950996
0.6,53,20.196412
0.8,31,20.354368
0.8,31,20.503984
0.8,31,20.656742
-1.5,56,20.932786
-2.7,50,21.171296
-2.7,50,21.406154
-2.7,50,21.653386
0.8,31,21.807246
-1.5,50,22.044963
-0.9,50,22.28747
-0.9,50,22.536863
-0.9,50,22.770446
-2.7,50,23.084725
2.1,50,23.323974
