#{"t_start": 1769326473.0655072, "env_id": "FlappyBird-v0"}
r,l,t
-5.7,50,0.760541
-8.1,50,0.874219
-6.9,50,1.069956
-6.9,50,1.293555
-8.1,50,1.522095
-8.7,50,1.746789
-6.9,50,1.974441
-8.1,50,2.188313
-7.5,50,2.409982
-6.9,50,2.638402
-4.5,50,2.861665
-5.7,50,3.079193
-7.5,50,3.298615
-0.9,50,3.523938
-7.5,50,3.744485
-7.5,50,3.96597
-5.7,50,4.177057
-5.1,50,4.39954
-7.5,50,4.619787
-8.7,50,4.845867
-7.5,50,5.070864
-6.9,50,5.289698
-8.1,50,5.512983
-6.3,50,5.726572
-8.1,50,5.950125
-6.9,50,6.183918
-7.5,50,6.405309
-8.7,50,6.623609
-6.3,50,6.864842
-6.3,50,7.097633
-7.5,50,7.350337
-7.5,50,7.567898
-6.9,50,7.799759
-0.9,50,8.018014
-6.9,50,8.25556
-4.5,50,8.4764
-7.5,50,8.695188
-2.7,50,8.918029
-8.7,50,9.140705
-0.9,50,9.457092
-5.1,50,9.678118
-2.1,50,9.896306
-0.9,50,10.120702
-7.5,50,10.345957
-4.5,50,10.575843
-0.9,50,10.79715
-5.1,50,11.014038
-2.1,50,11.241553
-8.7,50,11.473544
-2.7,50,11.704876
-0.9,50,11.935117
-5.7,50,12.151534
-0.9,50,12.383354
-0.9,50,12.615833
-0.9,50,12.843718
-6.3,50,13.071873
-0.4,55,13.327521
-5.1,50,13.560728
-2.7,50,13.798456
-0.9,50,14.046248
-0.9,50,14.281016
-8.1,50,14.509777
-0.9,50,14.731512
0.3,50,14.96727
2.1,50,15.20582
-0.9,50,15.440804
-0.9,50,15.671748
-0.9,50,15.917322
0.3,50,16.167796
-0.9,50,16.408193
-0.3,50,16.647574
-0.9,50,16.89168
1.5,50,17.133795
0.8,31,17.28895
0.8,31,17.44437
0.8,31,17.598564
-2.5,58,17.876318
-1.5,56,18.14205
0.8,31,18.296013
0.8,31,18.446788
0.8,31,18.607037
-2.7,50,18.842305
-1.5,50,19.075899
0.8,31,19.231697
0.8,31,19.394319
-0.9,50,19.62848
0.3,50,19.883749
-0.9,50,20.130198
-2.7,50,20.375744
0.8,31,20.528962
0.8,31,20.681181
2.7,50,20.91845
-3.3,56,21.190665
2.3,52,21.43719
-2.7,50,21.684271
0.8,31,21.839601
-1.5,50,22.074754
-0.9,50,22.318088
-1.5,50,22.564671
-0.9,50,22.806329
0.8,31,22.944156
-1.5,50,23.254985
-2.7,50,23.501169
0.8,31,23.654821
-0.9,50,23.888756
-0.9,50,24.13188
2.7,50,24.375389
-2.7,50,24.613765
-2.7,50,24.853105
0.8,31,24.998142
-3.0,59,25.29036
-1.5,50,25.521979
-1.5,50,25.758081
0.8,31,25.921476
0.8,31,26.083763
0.8,31,26.241664
0.8,31,26.392167
-2.5,58,26.675273
1.7,52,26.924127
-2.7,50,27.169132
0.8,31,27.314643
0.8,31,27.469094
0.8,31,27.620418
1.7,58,27.897915
0.8,31,28.056726
0.8,31,28.207386
0.8,31,28.364487
0.8,31,28.516241
0.8,31,28.671602
2.1,44,28.880741
0.8,31,29.032004
-0.9,50,29.276854
0.8,31,29.431409
0.8,31,29.596561
-2.1,50,29.839704
1.1,46,30.061309
0.8,31,30.206324
0.8,31,30.362237
-1.1,60,30.653525
0.8,31,30.80541
0.8,31,30.959205
0.8,31,31.118317
0.8,31,31.277661
0.8,31,31.434623
0.8,31,31.596239
2.2,57,31.8881
0.8,31,32.026663
0.8,31,32.190721
0.8,31,32.36714
0.8,31,32.534801
0.8,31,32.698022
0.8,31,32.844276
0.8,31,32.995889
0.8,88,33.428409
0.8,31,33.576521
0.9,56,33.847916
-0.3,50,34.089106
-1.1,60,34.396472
0.8,31,34.651414
-2.3,60,34.933362
0.4,57,35.209534
0.8,31,35.36092
0.8,31,35.502797
0.8,31,35.662589
0.8,31,35.818257
0.8,31,35.964993
-0.9,50,36.215024
-2.1,56,36.486827
0.8,31,36.628584
0.9,56,36.905244
0.8,31,37.055989
-3.2,57,37.335544
1.1,52,37.587385
2.2,51,37.831595
-1.3,52,38.072261
-0.3,50,38.304433
1.8,53,38.557544
-0.3,50,38.793357
1.8,53,39.049779
-1.8,59,39.316523
-0.8,51,39.560733
0.9,50,39.805455
2.1,50,40.040547
2.1,50,40.278183
-0.9,50,40.513839
1.5,50,40.756041
-0.9,50,40.99283
-1.8,53,41.249594
1.1,52,41.498374
-2.4,53,41.751422
0.9,50,41.992576
2.2,51,42.239567
1.6,51,42.480332
-0.9,50,42.712565
2.1,50,42.94514
1.8,53,43.193435
1.8,53,43.446252
0.2,55,43.705205
0.8,31,43.860345
1.5,50,44.088184
0.3,50,44.327379
0.9,50,44.560704
0.8,31,44.703814
0.8,31,44.863416
0.8,31,45.001718
0.8,31,45.163852
0.8,31,45.319099
0.6,53,45.571102
0.8,31,45.730943
0.8,31,45.886661
-0.6,53,46.151407
0.8,31,46.308375
1.2,35,46.485312
0.8,31,46.642181
0.8,31,46.78975
0.8,31,46.952528
