#{"t_start": 1769326473.0655072, "env_id": "FlappyBird-v0"}
r,l,t
0.8,31,47.109518
3.3,56,47.390908
0.8,31,47.539787
0.8,31,47.691626
0.8,31,47.858158
0.8,31,48.003507
0.8,31,48.169683
2.1,50,48.526949
0.8,31,48.684044
0.8,31,48.837568
0.8,31,48.997161
3.1,54,49.342495
0.8,31,49.498607
0.8,31,49.657068
0.8,31,49.798797
-0.9,50,50.040762
3.3,56,50.310248
0.8,31,50.471949
0.8,31,50.627172
0.8,31,50.770124
2.9,52,51.021783
1.5,50,51.279702
0.8,31,51.439298
0.8,31,51.591812
0.3,50,51.840439
0.8,31,51.992926
0.8,31,52.147556
1.2,35,52.314418
0.8,31,52.474546
0.8,31,52.631999
-2.1,50,52.880108
0.8,31,53.034305
0.8,31,53.194309
0.8,31,53.332525
0.8,31,53.489476
-2.7,50,53.733323
-2.1,50,53.970763
-1.5,50,54.223606
-2.7,50,54.466928
-1.5,50,54.713908
-0.9,50,54.958016
-0.9,50,55.20683
-1.5,50,55.449283
-1.5,50,55.693801
1.2,86,56.094962
-0.9,50,56.346935
-1.5,50,56.58582
-0.9,50,56.823671
-0.9,50,57.062491
2.2,66,57.385422
0.3,50,57.612167
3.0,86,58.036285
-0.9,50,58.276757
1.8,86,58.685516
2.9,52,58.931088
-2.4,86,59.329549
1.8,86,59.737861
-0.9,50,59.977253
-0.6,86,60.41528
