#{"t_start": 1769326473.057041, "env_id": "FlappyBird-v0"}
r,l,t
-4.5,50,0.76913
-7.5,50,0.882539
-7.5,50,1.078253
-8.1,50,1.301877
-6.3,50,1.530558
-8.1,50,1.754576
-7.5,50,1.982161
-7.5,50,2.196628
-8.1,50,2.419062
-6.3,50,2.646864
-8.1,50,2.869884
-7.5,50,3.087505
-7.5,50,3.306565
-7.5,50,3.532292
-2.7,50,3.751915
-7.5,50,3.973408
-7.5,50,4.185443
-6.3,50,4.408864
-7.5,50,4.628363
-7.5,50,4.853154
-6.9,50,5.079033
-6.9,50,5.298611
-7.5,50,5.522034
-3.9,50,5.735507
-7.5,50,5.95776
-6.3,50,6.191668
-4.5,50,6.412757
-7.5,50,6.631903
-2.1,50,6.873143
-7.5,50,7.105856
-6.9,50,7.358222
-4.5,50,7.576183
-6.3,50,7.807516
-1.5,50,8.026328
-5.7,50,8.262753
-8.1,50,8.484821
-8.7,50,8.703519
-6.9,50,8.925196
-9.3,50,9.149013
-4.5,50,9.464436
-3.9,50,9.685787
-2.7,50,9.904638
0.1,54,10.153975
-6.9,50,10.377911
-3.9,50,10.602632
-0.9,50,10.826958
-5.7,50,11.049186
-5.1,50,11.283641
-9.3,50,11.507865
-5.1,50,11.735656
-1.4,57,11.994771
-8.7,50,12.217747
-0.9,50,12.449476
0.6,53,12.692288
-6.9,50,12.914157
-4.5,50,13.147263
-1.4,57,13.408942
-0.9,50,13.648046
-0.9,50,13.901871
-0.9,50,14.128163
-0.9,50,14.363054
-2.7,50,14.595191
-0.9,50,14.831781
-0.9,50,15.060344
1.5,50,15.295842
-0.9,50,15.521538
0.8,31,15.666068
-0.9,50,15.905912
-0.3,50,16.16007
-2.7,50,16.401912
-0.9,50,16.642254
0.8,31,16.798747
0.8,31,16.944765
-0.9,50,17.181949
0.8,31,17.348317
0.8,31,17.494746
0.8,31,17.654651
-2.0,57,17.921893
-2.7,50,18.159211
0.8,31,18.312665
-1.9,58,18.606612
-2.7,50,18.839928
-1.0,55,19.100383
0.8,31,19.255371
0.8,31,19.415453
-2.5,58,19.696721
-3.1,58,19.991229
-0.5,54,20.251375
-2.7,50,20.487719
0.8,31,20.645623
-0.9,50,20.889688
-2.8,55,21.148063
-4.2,59,21.434893
-2.7,50,21.681131
0.8,31,21.833123
-0.9,50,22.072754
-0.9,50,22.313105
0.8,31,22.465596
0.8,31,22.616941
-2.7,50,22.860517
-2.7,50,23.171617
-0.9,50,23.41157
0.8,31,23.56062
0.8,31,23.714274
-0.9,50,23.946971
0.9,50,24.196492
-0.9,50,24.436691
-2.7,50,24.670677
-0.9,50,24.909094
-2.7,50,25.149815
-1.5,50,25.39366
-2.7,50,25.627555
1.5,50,25.86661
0.8,31,26.025897
0.8,31,26.190332
0.8,31,26.345426
-0.9,50,26.59121
-2.3,60,26.879926
0.9,50,27.126475
2.4,53,27.384121
0.9,50,27.618342
0.8,31,27.765327
0.8,31,27.925636
0.8,31,28.079333
0.8,31,28.228325
0.8,31,28.388679
0.8,31,28.539314
0.8,31,28.694971
0.6,47,28.920777
0.8,31,29.075582
-0.9,50,29.322551
0.8,31,29.466935
-0.9,50,29.717945
0.8,31,29.877368
-0.9,50,30.119164
0.8,31,30.268268
-2.7,50,30.511056
-2.7,50,30.745513
0.8,31,30.902527
0.8,31,31.060325
0.8,31,31.223992
0.8,31,31.381062
0.8,31,31.532097
0.8,31,31.693686
0.8,31,31.855823
-0.8,96,32.35492
0.8,31,32.524477
0.8,31,32.679475
3.0,59,32.972077
0.8,31,33.124541
0.8,31,33.274713
-0.9,50,33.511869
-0.6,59,33.800104
-0.9,50,34.042505
-0.9,50,34.279804
0.8,31,34.451696
0.8,31,34.707347
-0.2,57,34.974717
-0.2,57,35.248289
0.8,31,35.40134
0.8,31,35.54399
-1.3,58,35.842003
1.7,52,36.090904
2.3,52,36.348608
0.8,31,36.500454
-0.9,50,36.737528
0.8,31,36.887891
0.8,31,37.038585
1.4,55,37.304129
-1.2,59,37.59633
-1.2,59,37.879071
0.9,50,38.120119
2.2,51,38.356644
-2.9,87,38.76055
-2.0,57,39.028435
1.2,53,39.276592
-0.3,50,39.515407
1.5,50,39.75876
-0.9,50,39.994149
-0.9,50,40.226079
-0.9,50,40.469989
2.7,50,40.707875
-0.9,50,40.943498
-0.9,50,41.186208
1.6,51,41.425566
1.8,53,41.68704
3.0,53,41.942902
-0.9,50,42.181138
2.2,51,42.427532
-0.9,50,42.656831
2.1,50,42.889555
2.3,52,43.135137
-0.4,55,43.395836
0.8,31,43.541218
0.4,57,43.806781
-0.3,56,44.072551
-0.3,50,44.310464
1.5,50,44.547739
-1.0,55,44.809557
1.8,53,45.0665
0.8,31,45.221058
-0.9,50,45.464368
3.0,53,45.724463
0.8,31,45.88255
0.8,31,46.031892
0.8,31,46.202454
-1.5,50,46.452605
0.8,31,46.598131
0.8,31,46.757428
0.8,31,46.915972
0.8,31,47.061356
0.8,31,47.221488
0.8,31,47.383952
0.8,31,47.526261
0.8,31,47.684144
0.8,31,47.838527
1.2,35,48.023385
0.8,31,48.183115
1.7,52,48.548928
0.8,31,48.706955
0.8,31,48.872251
1.2,35,49.13957
0.8,31,49.277165
0.8,31,49.43404
0.8,31,49.585441
0.9,50,49.82668
3.4,57,50.107621
2.1,50,50.337592
0.8,31,50.500674
2.9,52,50.74862
0.8,31,50.906905
0.8,31,51.049109
-2.1,50,51.313033
-2.7,50,51.561833
-0.9,50,51.809643
-2.7,50,52.060964
2.0,55,52.322679
-2.7,50,52.572802
0.8,31,52.733016
0.8,31,52.887963
0.8,31,53.043653
0.8,31,53.202736
-1.5,50,53.442914
-0.3,50,53.68072
-2.7,50,53.924181
-2.7,50,54.174317
-1.5,50,54.41879
-1.5,50,54.667647
3.0,86,55.083132
-1.5,50,55.330375
-1.5,50,55.578397
-1.5,50,55.818293
0.9,50,56.048968
-1.5,50,56.301471
-0.9,50,56.540732
-1.5,50,56.779108
3.3,65,57.085898
0.3,50,57.321474
0.3,50,57.559888
-0.9,50,57.805802
-0.9,50,58.050187
4.3,69,58.373578
0.3,50,58.604794
-0.6,86,59.017657
-0.9,50,59.25832
0.3,50,59.494358
6.1,141,60.161853
2.0,70,60.524916
