#{"t_start": 1769326473.0681448, "env_id": "FlappyBird-v0"}
r,l,t
-8.7,50,0.757905
-5.7,50,0.871519
-8.1,50,1.068181
-6.9,50,1.291048
-7.5,50,1.518703
-6.9,50,1.743553
-8.7,50,1.97126
-6.3,50,2.185462
-8.1,50,2.407353
-5.7,50,2.636236
-6.3,50,2.858905
-7.5,50,3.076535
-8.1,50,3.295356
-6.9,50,3.521272
-5.1,50,3.74176
-8.1,50,3.963318
-6.9,50,4.175288
-6.9,50,4.397483
-6.9,50,4.61733
-8.1,50,4.842359
-5.1,50,5.067748
-6.3,50,5.28762
-8.7,50,5.510778
-6.3,50,5.724572
-7.5,50,5.947448
-6.3,50,6.181504
-6.9,50,6.401801
-8.1,50,6.620987
-7.5,50,6.862128
-7.5,50,7.096339
-6.3,50,7.347961
-8.1,50,7.564379
-3.9,50,7.796467
-0.9,50,8.014683
-6.9,50,8.252183
-6.9,50,8.47448
-8.1,50,8.692558
-5.7,50,8.915323
-8.7,50,9.138923
-1.5,50,9.453538
-6.9,50,9.675493
-0.9,50,9.893665
-0.9,50,10.11853
-6.9,50,10.343384
-4.5,50,10.572628
-3.9,50,10.794501
-7.5,50,11.011398
-3.9,50,11.239096
-9.3,50,11.470078
-0.9,50,11.701525
-2.1,50,11.932076
-8.1,50,12.149068
-5.7,50,12.380048
-3.9,50,12.613159
-4.5,50,12.841916
-1.5,50,13.069285
-2.5,58,13.341089
-3.9,50,13.575107
-3.9,50,13.810048
-0.9,50,14.058337
-0.9,50,14.294374
-0.9,50,14.523932
-0.9,50,14.747821
-0.9,50,14.97761
-1.0,55,15.242545
-0.9,50,15.475558
0.8,31,15.611364
-0.9,50,15.855731
2.1,50,16.10839
0.8,31,16.268317
-0.4,55,16.532199
-0.3,50,16.759361
0.8,31,16.917429
0.8,31,17.069806
-0.3,50,17.31532
0.8,31,17.46719
0.8,31,17.627182
-0.5,54,17.883647
-2.6,57,18.155381
0.8,31,18.307376
0.8,31,18.459525
0.8,31,18.620842
-2.7,50,18.856614
-2.0,57,19.122566
0.8,31,19.2827
0.8,31,19.439253
0.6,53,19.698838
-3.1,58,19.992551
-1.5,50,20.228866
0.8,31,20.384528
0.8,31,20.540074
-2.7,50,20.782002
-2.1,50,21.016973
-4.2,59,21.304617
-1.5,50,21.546583
-0.9,50,21.787677
-3.1,58,22.066497
-1.5,50,22.309305
-1.5,50,22.556201
-0.9,50,22.797228
-2.7,50,23.108557
1.6,51,23.353212
0.8,31,23.499039
0.8,31,23.65217
-1.5,56,23.916273
1.5,50,24.165943
-2.7,50,24.401108
-2.7,50,24.639606
1.1,52,24.889225
