#{"t_start": 1769326473.050675, "env_id": "FlappyBird-v0"}
r,l,t
-6.9,50,0.775318
-8.7,50,0.888912
-8.1,50,1.085583
-8.7,50,1.308245
-7.5,50,1.536106
-3.9,50,1.761621
-8.1,50,1.988564
-3.9,50,2.202997
-5.7,50,2.423873
-7.5,50,2.653152
-8.1,50,2.876389
-6.9,50,3.093869
-6.3,50,3.313178
-6.9,50,3.539519
-6.3,50,3.7591
-7.5,50,3.979488
-5.1,50,4.191761
-6.9,50,4.415821
-6.9,50,4.633949
-7.5,50,4.860378
-6.3,50,5.085506
-7.5,50,5.305047
-6.9,50,5.528387
-6.3,50,5.741888
-8.1,50,5.964106
-6.3,50,6.198804
-4.5,50,6.419158
-6.3,50,6.63771
-5.1,50,6.878883
-5.1,50,7.112234
-6.9,50,7.365353
-8.7,50,7.582665
-6.3,50,7.813902
-4.5,50,8.032632
-8.1,50,8.268712
-6.9,50,8.491036
-6.3,50,8.710784
-5.7,50,8.932754
-8.7,50,9.155404
-0.9,50,9.471046
-0.9,50,9.691604
-0.9,50,9.912005
-0.3,50,10.134982
-8.1,50,10.360779
-5.1,50,10.590606
-0.9,50,10.812762
-0.9,50,11.029656
-0.9,50,11.25656
-9.3,50,11.48743
-2.7,50,11.71868
2.1,50,11.948982
-5.1,50,12.166276
-0.9,50,12.398969
-0.9,50,12.630465
-0.9,50,12.85921
-0.9,50,13.085707
-1.0,55,13.343129
-3.3,50,13.57472
-0.9,50,13.813431
-0.9,50,14.061792
-0.9,50,14.296419
-6.3,50,14.524524
-0.9,50,14.74606
-0.3,50,14.982108
0.1,54,15.241008
-0.9,50,15.475283
2.1,50,15.706444
-0.9,50,15.953404
0.9,50,16.206418
-0.5,54,16.459511
-0.9,50,16.701949
0.8,31,16.855281
0.8,31,17.002009
-2.1,56,17.269248
0.8,31,17.432856
0.8,31,17.590343
-0.9,50,17.827814
0.3,50,18.065106
0.8,31,18.216771
0.8,31,18.376733
-0.9,50,18.622194
-2.7,50,18.85679
-1.0,55,19.115927
0.8,31,19.271682
0.8,31,19.432945
-2.0,57,19.71057
-1.5,50,19.960061
-2.8,55,20.220038
0.8,31,20.378178
0.8,31,20.527744
0.8,31,20.683589
2.8,51,20.925535
-2.7,50,21.165594
-2.2,55,21.432391
-4.3,58,21.719518
-2.7,50,21.964034
0.9,50,22.199009
0.8,31,22.351632
0.8,31,22.500493
-2.7,50,22.738303
-2.7,50,22.978082
-1.5,50,23.289612
-2.7,50,23.534542
0.8,31,23.691017
-0.9,50,23.924897
-0.9,50,24.171364
0.6,47,24.395132
-2.7,50,24.636127
-0.9,50,24.872941
0.8,31,25.023071
-1.1,54,25.277372
-1.5,50,25.518604
-1.5,50,25.750924
0.8,31,25.91494
0.8,31,26.071538
0.8,31,26.232742
0.8,31,26.384155
-0.9,50,26.633681
0.8,31,26.774248
-0.9,50,27.011127
1.6,57,27.290089
0.8,31,27.450009
-2.7,50,27.692224
0.9,50,27.937224
0.8,31,28.091393
-0.9,50,28.337038
0.8,31,28.48959
0.8,31,28.649033
2.9,58,28.926732
0.8,31,29.082496
0.8,31,29.223336
0.8,31,29.387416
0.8,31,29.529997
0.8,31,29.690563
0.8,31,29.848202
0.8,31,29.993664
2.3,58,30.280062
-0.9,50,30.525057
-0.9,50,30.760217
0.8,31,30.913937
0.8,31,31.075796
0.8,31,31.235289
0.8,31,31.395524
0.8,31,31.543369
0.8,31,31.70717
0.8,31,31.867773
-0.9,50,32.114705
0.8,31,32.273448
0.8,31,32.449711
0.8,31,32.618558
2.5,60,32.913275
-1.5,50,33.160318
0.8,31,33.307648
0.9,50,33.547248
0.9,50,33.7913
0.8,31,33.948506
-0.9,50,34.183334
0.8,31,34.335631
0.8,31,34.606483
0.8,31,34.758305
-1.8,59,35.033593
0.8,31,35.187167
-1.8,59,35.467114
0.8,61,35.76435
-1.8,59,36.050245
-0.9,50,36.302626
0.8,31,36.459394
1.4,55,36.720106
0.1,48,36.957122
0.8,31,37.112271
-0.3,50,37.351035
0.8,31,37.497381
-1.2,59,37.774163
2.3,52,38.021492
-1.8,53,38.272835
1.2,53,38.523174
1.8,53,38.777602
-1.8,59,39.053424
1.8,53,39.301246
-0.3,50,39.539804
0.3,50,39.78273
-0.9,50,40.019154
0.9,50,40.252273
0.5,52,40.503272
1.6,51,40.745267
-0.9,50,40.984387
0.9,50,41.229297
-0.4,55,41.483434
-0.9,50,41.730994
2.7,50,41.972134
-0.3,50,42.212381
1.1,52,42.460285
0.9,50,42.688403
-0.9,50,42.924053
-1.1,54,43.179142
-0.9,50,43.417171
-0.3,56,43.680651
0.8,31,43.823069
0.5,52,44.067257
1.6,51,44.312097
2.1,50,44.549143
3.0,53,44.800643
1.8,53,45.056963
0.8,31,45.213403
0.8,31,45.374854
3.0,53,45.629124
0.8,31,45.780245
-2.7,50,46.023052
0.8,31,46.185321
-0.9,50,46.439168
0.8,31,46.589694
0.8,31,46.749588
3.3,56,47.02568
0.8,31,47.186138
0.8,31,47.330091
0.8,31,47.492816
2.8,51,47.743203
-0.9,50,47.996867
0.8,31,48.164454
1.8,53,48.534273
0.8,31,48.693234
0.8,31,48.842604
0.8,31,49.005655
0.8,31,49.246626
0.8,31,49.400511
0.8,31,49.549785
-0.9,50,49.789315
-0.9,50,50.031712
-2.7,50,50.276012
0.8,31,50.433449
-1.5,50,50.68137
2.9,52,50.934277
2.1,50,51.184936
0.8,31,51.341016
0.8,31,51.491182
0.8,31,51.650161
0.8,31,51.799125
0.8,31,51.958453
-2.7,50,52.196509
1.2,35,52.368322
0.8,31,52.526029
0.8,31,52.684579
0.8,31,52.83158
0.8,31,52.995096
0.8,31,53.147374
-0.3,50,53.391583
0.8,31,53.543654
-2.7,50,53.787083
-2.7,50,54.029561
-2.7,50,54.274881
-1.5,50,54.517826
-1.5,50,54.767023
1.8,53,55.028455
-0.3,50,55.275361
-0.9,50,55.51793
-1.5,50,55.75775
-0.9,50,55.99716
0.9,50,56.241423
-1.5,50,56.483309
-1.5,50,56.723025
4.2,68,57.041367
-0.9,50,57.277699
2.4,86,57.701457
-0.9,50,57.939722
3.1,54,58.193959
-0.9,50,58.441317
-0.9,50,58.670442
-0.3,50,58.911819
5.6,94,59.350249
2.9,52,59.595733
2.3,67,59.909851
0.3,50,60.154131
